ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;CODI_FONDO;DESC_FONDO;CODI_NATURA;DESC_NATURA;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA
2013;SSNA;ME;2;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;SSNA;NM;2;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;SSNA;NM;20;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;SSNA;NM;20;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;SSNA;NM;36;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;SSNA;NM;36;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;EPNE;2F;44;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;SSNA;NM;36;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;SSNA;NM;20;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;SSNA;NM;2;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;SSNA;NM;2;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;SSNA;NM;2;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;SSNA;NM;2;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;SSNA;NM;20;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;AGFI;2F;44;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;AGFI;2F;44;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;AGFI;2F;44;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
